product,product_label,rank,similar,similar_label,similarity,shared_attributes
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,6.0,PRODUCT:5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,0.7117,5
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,7.0,PRODUCT:6514,GOTERO VIDRIO AMBAR 20ML TAPA METALIZADA DORADA Y CHUPON,0.7117,5
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,8.0,PRODUCT:5550,GOTERO VIDRIO AMBAR 50ML TAPA METALIZADA DORADA Y CHUPON,0.7117,5
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,9.0,PRODUCT:5316,GOTERO VIDRIO AMBAR 30ML C/TAPA Y CHUPON C/SEGURO,0.7117,5
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,10.0,PRODUCT:5400,GOTERO  VIDRIO AMBAR 30ML TAPA METALIZADA DORADA Y CHUPON,0.7117,5
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,1.0,PRODUCT:6514,GOTERO VIDRIO AMBAR 20ML TAPA METALIZADA DORADA Y CHUPON,1.0,6
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,2.0,PRODUCT:5214,FRASCO GOTERO VIDRIO TRANSPARENTE 20ML C/TAPA Y CHUPON,0.7143,5
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,3.0,PRODUCT:5549,GOTERO VIDRIO AMBAR 100ML TAPA METALIZADA DORADA Y CHUPON,0.7117,5
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,4.0,PRODUCT:5550,GOTERO VIDRIO AMBAR 50ML TAPA METALIZADA DORADA Y CHUPON,0.7117,5
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,5.0,PRODUCT:5316,GOTERO VIDRIO AMBAR 30ML C/TAPA Y CHUPON C/SEGURO,0.7117,5
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,6.0,PRODUCT:5400,GOTERO  VIDRIO AMBAR 30ML TAPA METALIZADA DORADA Y CHUPON,0.7117,5
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,7.0,PRODUCT:5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,0.7117,5
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,8.0,PRODUCT:5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,0.7117,5
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,9.0,PRODUCT:5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,0.7117,5
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,10.0,PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,0.7117,5
